87,あさまし,①驚きあきれるほどだ、あきれるほどひどい③情けない、嘆かわしい,
88,いたし,①（連用形の形で）とても、たいそう②（下に打ち消しを伴って）たいして～ない、それほど（～ない）③すばらしい,
89,つれなし,①平然としている、そ知らぬふりをしている②冷淡だ、薄情だ③何の変化もない、もとのままだ,
90,あいなし,①筋違いだ、具合が悪い②つまらない、おもしろくない③「あいなく」「あいなう」むやみに、わけもなく,
91,あじきなし,①どうにもならない、無益だ②つまらない、苦々しい,
92,さがなし,①性質がよくない、意地が悪い②いたずらだ,
93,すさまじ,①興ざめだ②殺風景だ、寒々としている、荒涼としている,
94,いふかいなし,①どうしようもない、言っても仕方がない②とるに足りない、たわいない③ひどい、ふがいない,
95,よしなし,①関係がない、いわれがない、理由がない②方法がない、仕方がない③つまらない、かいがない,
96,びんなし,①都合が悪い、不都合だ②困ったことだ、感心しない,
97,さうざうし,物足りない、心寂しい,
98,むつかし,①うっとうしい、不快だ②わずらわしい、面倒だ③むさくるしい、見苦しい④気味が悪い、恐ろしい,
99,あてなり,①身分が高い、高貴だ②上品だ、優美だ,
100,きよらなり,美しい、華麗だ,
101,さらなり,①（言えば、言うもに続けて）言うまでもない、もちろんだ②（言えば、言うもを省略して、）言うまでもない、もちろんだ,
102,あらはなり,①丸見えだ②明らかだ,
103,あからさまなり,ちょっとの間だ、ちょっと,
104,かたくななり,①情趣を解さない、教養がない②見苦しい、みっともない,
105,あだなり,①はかないむなしい、役に立たない②不誠実だ、浮気だ,
106,すずろなり,①あてもない、わけもない②思いがけない、無関係だ、つまらない③（すずろにの形で）むやみに,
107,むげなり,①まったくひどい、最低だ②（「むげに」の形で）むやみに、（下に打ち消し）まったく～ない,
108,おほやけ,①朝廷②天皇,
109,きわ,①身分、分際②程度,
110,しるし,①ご利益、霊験②効果、効き目③前兆、兆候,
111,ことわり,道理,
112,ためし,①例、先例、手本②語り草,
113,わざ,①仏事、法事②こと、行い,
114,おぼえ,①評判、人望②（御おぼえの形で）寵愛,
115,ここち,①気持ち、感じ②病気、体調,
116,うつつ,①現実②正気,
117,つとめて,①早朝②翌朝,
118,つごもり,月末、月の下旬,
119,ついで,①順序、順番②機会、折,
120,たより,①頼れるもの、よりどころ②縁故、つて③便宜、手段④機会、ついで,
121,こころざし,①愛情、誠意②贈り物、謝礼,
122,よし,①縁、関係、いわれ②方法、手段③旨、こと⑤そぶり、様子,
123,よろづ,①さまざまなこと、あらゆること②（副詞として）すべて、万事につけて,
124,て,①筆跡、書、文字②演奏法、曲,
125,ざえ,学問、学識、才能,
126,おのづから,①自然に、ひとりでに②偶然に、たまたま③万一、ひょっとすると,
127,すなはち,すぐに、そのまま,
128,とく,①早く、すぐに②すでに、とっくに,
129,いつしか,①早く（～したい・～してほしい）②早くも,
130,なべて,①総じて、おしなべて②普通、並,
131,いとど,いっそう、ますます,
132,かく,このように,
133,とかく,あれこれと、何やかやと,
134,しか,そう、そのように,
135,さ,そう、そのように,
136,さばかり,①その程度、それほど②非常に、たいそう,
137,さながら,①そのまま、もとのまま②全部、すべて,
138,つゆ～打消,少しも～ない、まったく～ない,
139,よも～じ,まさか～ないだろう、よもや～まい,
140,なかなか,かえって、むしろ,
141,さすがに,そうはいってもやはり,
142,かつ,①一方では②すぐに、次から次へと,
143,など・などか,①どうして～か②どうして～か、いや～ない,
144,なでふ・なんでふ,①どうして～か②どうして～か、いや～ない,
145,ありし・ありつる,①（「ありし」の形で）かつての②（「ありつる」の形で）さっきの、先ほどの,
146,れいの,①いつものように②いつもの,
147,おとにきく,①うわさに聞く、人づてに聞く②評判が高い、有名だ,
148,いかがせむ・いかがはせむ,①どうしようか②どうしようもない,
149,さるべき,①適当な、ふさわしい②そうなるはずの、そうなる運命の③立派な、それ相応の,
150,いざたまへ,さあ、（一緒に）いらっしゃい。さあどうぞ,
151,のたまふ・のたまはす,おっしゃる,
152,おほす,おっしゃる,
153,きこしめす,①お聞きになる②召し上がる,
154,ごらんず,ごらんになる,
155,まうす,①申し上げる②（謙譲の補助動詞）お～申し上げる、お～する,
156,きこゆ・きこえさす,①申し上げる②（謙譲の補助動詞）お～申し上げる、お～する,
157,おはす・おはしめす,①②いらっしゃる③（尊敬の補助動詞）～ていらっしゃる,
158,おぼす・おぼしめす,①お思いになる,
159,たまふ,①お与えになる、くださる②（尊敬の補助動詞）お～になる、～なさる、～てくださる,
160,（手紙や会話文で）たまふ,～ております、～させていただく,思う、見る、聞く、知るの後がほとんど
161,たまはす,お与えになる,
162,たまはる,いただく、頂戴する,
163,うけたまはる,①お受けする、承諾し申し上げる②お聞きする,
164,たてまつる,①（「与ふ」の謙譲語）差し上げる②（謙譲の補助動詞）お～申し上げる③（「着る」「乗る」「食ふ・飲む」の尊敬語）お召しになる、お乗りになる、召し上がる,
165,はべり,①お仕えする、伺候する②あります、おります、ございます③～ございます、～です,
166,さぶらふ,①お仕えする、伺候する②あります、おります、ございます③～ございます、～です,
167,めす,①および寄せする②召し上がる③お召しになる④お乗りになる,
168,まうづ,①参上する、うかがう②参詣する、お参りする,
169,まいる,①参上する②差し上げる③し申し上げる、して差し上げる④召し上がる,
170,まいらす,①差し上げる②お～申し上げる、お～する,
171,まかる,①退出する、おいとまする②参ります、出かけます③～申す、～ます,
172,まかづ,①退出する、おいとまする②出かけます、参ります,
173,つかはす,①おやりになる、おつかわしになる②お与えになる、お贈りになる③贈る、行かせる、やる,
174,あそばす,①演奏なさる、お詠みになる②～をなさる,
175,つかうまつる,①お仕え申し上げる②し申し上げる、いたす③（謙譲の補助動詞）お～申し上げる、お～する,
176,おほともごもる,お休みになる,
177,しろしめす,①ご存じである、知っていらっしゃる②お治めになる、領有なさる,
178,行幸・行啓・御幸,①（行幸）天皇のお出かけ②（行啓）皇后・皇太子などのお出かけ③（御幸）上皇・法皇・女院のお出かけ,
179,そうす,（天皇・上皇に）申し上げる、奏上する,
180,けいす,（皇后・皇太子に）申し上げる,
181,しる,領有する、治める,
182,あくがる,①さまよい出る②宙にさまよう③上の空になる,
183,やすらふ,①立ち止まる、とどまる②ためらう、躊躇する,
184,うちいづ,口に出して言う,
185,やつす,地味な格好にする、目立たない様子をする,
186,おとなふ,①音を立てる、声を立てる②手紙を出す、訪れる,
187,そばむ,横を向く,
188,かたらふ,交際する、親しくする,
189,すむ,通う,
190,さはる,妨げられる、差し支える,
191,あるじす,客にごちそうする,
192,もてなす,①振る舞う②取り扱う、取り計らう③もてはやす、大切に扱う,
193,きようず,おもしろがる,
194,およすぐ,①成長する、大人になる②大人びる、ませる,
195,ときめく,寵愛を受ける、時流に乗って栄える,
196,さる,①避ける、逃れる②断る、辞退する,
197,こうず,疲れる、疲労する,
198,かきくらす,悲しみが心を暗くする、涙が目の間を暗くする,
199,うれふ,訴える、悲しみ嘆く,
200,かこつ,不平を言う,
201,いたはる,①病気になる、疲労する②骨を折る、苦労する③世話をする,
202,ためらふ,①静養する、病勢を抑える②気を静める、感情を抑える,
203,おこたる,病気がよくなる、病気が快方に向かう,
204,なやむ,病気に苦しむ、気分がすぐれなくなる,
205,おくる,先立たれる、先に死なれる,
206,したたむ,①処理する、整理する②用意する、準備する③取り締まる、治める,
207,あたらし,もったいない、惜しい,
208,かたじけなし,①おそれ多い、もったいない②ありがたい、もったいない,
209,をこがまし,愚かしい、みっともない,
210,こころにくし,奥ゆかしい,つい妬ましく思うほど奥の深いものを褒めて言う言葉です。なので「②心惹かれる」も覚えとくといいです
211,さかし,①かしこい、賢明だ②気が利いている、才気がある③気がしっかりしている、着丈だ④こざかしい,
212,すきずきし,①好色めいている、色好みだ②風流だ、物好きだ,
213,なまめかし,優美だ、みずみずしい,
214,いまめかし,①現代風だ、当世風だ②華やかだ、目新しい,
215,しどけなし,①無造作だ、気楽な感じだ②乱れている、だらしがない,
216,つきづきし,似つかわしい、ふさわしい,
217,なつかし,好ましい、感じがよい,
218,めやすし,見苦しくない、感じがよい,
219,こころやすし,①安心だ②気楽だ、気安い,
220,うしろめたし,心配だ、気がかりだ,
221,こころぐるし,①つらい、心配だ②気の毒だ、見ていてつらい,
222,まばゆし,①見ていられない、目をそむけたいほどだ②恥ずかしい、照れくさい,
223,はづかし,立派だ、すぐれている,
224,つたなし,①下手だ、拙劣だ②劣っている、凡庸だ③下品だ、見苦しい④不運だ、運が悪い,
225,こちたし,仰々しい、はなはだしい,
226,さうなし,ためらわない、無造作だ,
227,ところせし,①いっぱいだ、あふれるくらいだ②窮屈だ、不自由だ③おおげさだ、仰々しい,
228,つつまし,気が引ける、気恥ずかしい,
229,まさなし,①よくない、不都合だ②見苦しい、みっともない,
230,ねたし,しゃくにさわる、憎らしい,
231,まだし,①まだ時間が早い、時期尚早だ②不十分だ、未熟だ,
232,はしたなし,①不釣り合いだ②不愛想だ③はげしい、強い④きまりが悪い、体裁が悪い,
233,わりなし,①道理に合わない、無理だ②並々ではない、はなはだしい③耐えがたい、つらい④しかたがない、やむをえない,
234,ずちなし,どうしようもない、しかたがない,
235,あへなし,あっけない、はりあいがない、今さらどうしようもない,
236,くまなし,①暗いところがない、かげの部分がない②行き届かないところがない、いたらないところがない,
237,めざまし,気にくわない、不愉快だ,
238,こころづきなし,気に入らない、気にくわない,
239,ゆくりなし,突然だ、思いがけない,
240,あつし,病状が重い、病弱である,
241,あながちなり,①無理やりだ、強引だ②むやみだ、はなはだしい,
242,なめげない,無礼だ、無作法だ,
243,なのめなり,①並一通りだ、ありきたりだ②いい加減だ、おろそかだ,
244,おぼろげなり,①並一通りだ、ありきたりだ②並々ではない、別格だ,
245,あやにくなり,ひどい、はなはだしい,
246,まめやかなり,①まじめだ、本気だ②実生活向きだ、実用的だ③本格的だ、本式だ,
247,せちなり,①切実だ、身に染みる②大切だ、切迫している③（「せちに」の形で）ひたすら、いちずに,
248,よそなり,無縁だ、無関係だ,
249,うちつけなり,①突然だ、だしぬけだ②軽率だ、無礼だ,
250,とみなり,①急だ②（「とみに」の形で）すぐに,
251,みそかなり,ひそかだ,
252,こまやかなり,①心を込めている、丁寧だ②色が濃い③繊細で美しい,
253,らうたげなり,かわいらしい、可憐だ,
254,いうなり,優美だ、優れている,
255,うち,①宮中、内裏②天皇、帝,
256,うへ,①天皇、帝②奥様、奥方③御座所、貴人のいるところ,
257,しな,身分、家柄,
258,ふるさと,①古都、旧都②なじみのある土地③実家、わが家,
259,こころばえ ,①心遣い、配慮②性格、性質③趣、風情,
260,ひま,①すき間②絶え間③すき、機会,
