129,"the比較級 ～, the比較級...",～すればするほどますます...
130,be supposed to do,...することになっている ...するものと考えられている
131,make the best of ～,～（不利な条件）を最大限に活かす
132,try on ～,～を試着する
133,blow up (～),（怒りなど）感情をぶつける 爆発する ～を爆破する
134,call off ～,～を中止する ～（計画など）を取りやめる
135,on the air,（テレビ・ラジオで）放送されて
136,on and on,どんどん 引き続き
137,(at) first hand,じかに 直接
138,drive at ～,～を意図する ～を言おうとする
139,run for ～,～に立候補する
140,only to do,（その結果〔結局〕）...するだけだ
141,intended to have＋過去分詞,...するつもりだったのに
142,to be honest (with you),正直に言えば 正直なところ
143,over ～,～をめぐって ～を食べ〔飲み〕ながら
144,on earth,（疑問詞を強調して）一体全体
145,neither A nor B,AもBも...ない
146,lest S (should) ...,...しないように
147,be accustomed to ～ 〔...ing〕,～に〔...することに〕慣れている
148,be grateful (to A) for B,Bについて（Aに）感謝している
149,contribute to ～,～の一因となる ～に貢献する ～に寄付する
150,more often than not,たいてい しばしば
151,fall victim to ～,～の犠牲になる ～のえじきになる
152,come down with ～,～（風邪など）にかかる
153,be likely to do,...しそうである
154,in the company of ～,～と一緒に
155,A is exposed to B,AがBにさらされている
156,be concerned about 〔for〕 ～,～について懸念している
157,go out,外出する 消える
158,go for a walk,散歩に出かける
159,generally speaking,一般的に言って
160,no less than ～,～も
161,what is worse,さらに悪いことには
162,may want to do,～するとよいでしょう
163,weather permitting,天気が許せば〔よければ〕
164,because of ～,～のために
165,part with ～,～を手放す ～を売り〔譲り〕渡す
166,for good 〔ever〕,永久に これっきり
167,～ and so on 〔forth〕,～など
168,view A as B,AをBとみなす〔考える〕
169,relieve A of B,AからB（苦痛・困難など）を取り除く
170,let go of ～,～を手放す ～をあきらめる ～を考えないようにする
171,hold back ～,～（感情など）を抑える ～を隠す
172,bring ～ to light,～を明るみに出す
173,except for ～,～を除けば
174,carry on (～),～し続ける 継続する
175,hold on to ～,～を手離さないでいる がんばる
176,from time to time,時々
177,mistake A for B,AをBと間違える
178,would (often) do,（よく）...したものだ
179,think over ～,（決断する前に）～をよく考える
180,turn into ～,～に変わる ～になる
181,short of ～,～が不足している ～に達していない
182,at times,時々 たまには
183,at all,《否定文で》少しも（...ない）
184,make certain (that... 〔of ～ ; wh-...〕),確実に...であるようにする
185,remind A of B,AにBを思い出させる
186,as such,そういうものとして それ自体
187,take A as B,AをBとみなす〔受け取る〕
188,at hand,（時間・空間的に）すぐ近くに
189,prepare for ～,～に備える ～の準備をする
190,dispense with ～,～なしで済ませる ～を省く
191,keep off ～,～に近寄らない ～を避ける
192,put on ～,～（CDなど）をかけ ～（服など）を身につける ～（体重）を増やす
193,What ... for?,何のために...？
194,so as to do,...するために
195,try ...ing,試しに...してみる
196,be full of ～,～に満ちている
197,calm down (～),静まる ～を静める
198,indulge in ～,～にふける
199,be faced with 〔by〕 ～,～に直面している
200,deal with ～,～を処理する ～に対処する
201,get through ～,～（困難など）を乗り切る ～を切り抜ける
202,be of use,役に立つ 有用な
203,in terms of ～,～の点から ～の立場で
204,end up ～ 〔...ing〕,結局～〔...すること〕になる
205,beyond question,疑いの余地がない
206,take care of ～,～の世話をする
207,in the end,結局は 最後には
208,take it easy,気楽にやる 休養を取る
209,had better do,～しない方がいい
210,be expected to do,...することになっている〔を期待されている〕
211,enable O to do,Ｏが...できるようにする
212,yearn 〔long〕 for ～,～を熱望〔切望〕する
213,at the expense of ～,～を犠牲にして
214,How come ...?,どうして〔なぜ〕...なのか。
215,all the way,ずっと
216,in order,正常な状態で 整然と
217,come into being 〔existence〕,生まれる 出現する
218,in a sense 〔way〕,ある意味で
219,hold on,持続する 電話を切らないでおく
220,lie in ～,～にある ～に存在する
221,come to one's senses 〔oneself〕,正気を取り戻す 意識を取り戻す
222,be sure 〔certain〕 to do,必ず...する
223,look after ～,気を配る ～の世話をする
224,never fail to do,必ず...する
225,having＋過去分詞,...したので（完了分詞構文）
226,plenty of ～,多くの～ 十分な～
227,in contrast (to 〔with〕 ～),（～とは）対照的に
228,out of breath,息切れして
229,be equipped with ～,～を備えている ～を装備している
230,hold one's breath,息を止める （期待・心配などで）固唾を飲んで見守る
231,take in ～,～を理解する ～を取り入れる
232,think about 〔of〕 ～,～を思いつく ～のことを考える
233,back and forth,行ったり来たり 前後〔左右〕に
234,aside from ～,～は別にして〔除いて〕 ～に加えて
235,be all ears,一心に耳を傾けている
236,as soon as ...,...するやいなや
237,pay attention to ～,～に注意を払う
238,be sensitive to ～,～に敏感である
239,be free from ～,～（嫌なこと）を免れている ～がない
240,confine A to B,AをB内にとどめる AをBに限定する
241,it follows that ...,（当然）...ということになる
242,by the way,ところで
243,first of all,第一に まず
244,do＋動詞,（強調のdo） 本当に...する
245,strike A as B,AにBという感じ〔印象〕を与える
246,complain (to A) about 〔of〕 B,（Aに）Bについて不平を言う
247,as often as not,たいてい しばしば
248,come to think of it,考えてみると
249,be fed up with ～,～にうんざりしている
250,give A credit for B,BをAの功績とする AのBを正しく評価する
251,apart from ～,～は別として ～の他は
252,tell A from B,AとBを区別する
253,look on 〔upon〕 A as B,AをBであるとみなす
254,up to ～,～まで
255,help oneself to ～,～を自由にとって食べる〔飲む〕
256,break off (～),～をもぎ取る ～（話など）を急にやめる 別れる
257,accuse A of B,AをBしたとして非難する AをBの罪で告発する
258,watch＋O＋...ing,Oが...しているのを見る（知覚動詞）
259,比較級＋than any other ～,他のどの～よりも...
260,that 〔those〕 of ～,～のそれ
261,so that S will 〔can；may〕 ...,Sが...するために
262,in some ways,ある意味で
263,at the mercy of ～ 〔＝at one's mercy〕,～のなす〔言う〕がままに
264,admit to ～,～（事実・罪など）を認める
265,come to terms with ～,～と折り合いをつける
266,at issue,論争中の 懸案となっている
267,find one's way ((in)to ～),（～に）やっとたどり着く
268,break up (～),～をばらばらにする 解散する
269,transform A into B,AをBへと変化させる 変形させる
270,turn up,現れる
271,beyond description,言葉で言い表せないほど
272,cling to ～,～にしがみつく ～に固執する
273,take over ～,～を支配する ～を引き継ぐ
274,impose A on B,AをBに課す 押し付ける
275,be guilty of ～,～の罪で有罪である
276,be willing to do,～するのをいとわない
277,it is (about) time (that) ....,そろそろ...してもよい頃だ
278,by ～,～までには
279,have yet to do,まだ...し（てい）ない
280,there is nothing for it but to do,...するより仕方がない
281,be familiar with ～,～（物事）をよく知っている
282,as a (general) rule,概して 普通は
283,at odds with ～,～と争って ～と反目して
284,on the whole,概して 大体は
285,carry out ～,～を実行する ～を果たす
286,burn down (～),～を全焼させる 焼け落ちる
287,set off (～),～を点火させる 出発する
288,with 〔in〕 regard to ～,～に関して
289,look out (for～),（～に）気をつける 用心する
290,inform A of 〔about〕 B,AにBを知らせる
291,prior to ～,～より前に ～に先立って
292,quite a few,かなり多くの
293,get rid of ～,～を取り除く
294,allow for ～,～を考慮に入れる ～を可能にする
295,as ～ as one can,できるだけ～
296,on the face of it,一見したところでは
297,be composed of ～,～から成り立っている
298,distinguish A from B,AとBを区別する
299,come into view 〔sight〕,見えるようになる 目に入る
300,in honor of ～,～に敬意を表して ～を祝って
301,look for ～,～を探す
302,refer to ～,～に言及する ～を参照する
303,amount to ～,（総計）～に達する ～に等しい
304,in the way 〔in one's way〕,邪魔になって
305,be anxious for ～,～を切望している
306,catch up (with ～),（～に）追いつく
307,never ～ without ...ing,～すれば必ず...する
308,must have＋過去分詞,...したに違いない
309,every time ...,...するたびに
310,such (a 〔an〕) 形容詞＋名詞＋that ...,大変～なので... ...するくらい～
311,be associated with ～,～と関係がある
312,as it were,いわば
